"B0" "WasonSt"
"B3" "ChicInd"
"B6" "CitrnDS"
"B7" "Creola"
"B9" "Kushla"
"BB" "Lott_Rd"
"BD" "MtVern"
"BF" "N_ChicD"
"BH" "N_Ctrnl"
"BJ" "N_Srlnd"
"BL" "Salco"
"BM" "WlfRidg"
"BO" "Shell"
"BQ" "Ala_Prt"
"BS" "ClovrLF"
"BV" "Fowl_R"
"BX" "Holling"
"BZ" "Theodor"
"C1" "Forrest"
"C3" "JacksCS"
"C5" "Butler"
"C7" "E_Butlr"
"C9" "GrovHil"
"CA" "Kimbrgh"
"CB" "Lisman"
"CC" "PrkrtnD"
"CD" "PineHil"
"CE" "Rdrwood"
"CG" "S_Thmvl"
"CH" "SwtWatr"
"CI" "AmstrSt"
"CJ" "Thomsvl"
"CK" "Baltimo"
"CL" "Atmore"
"CM" "BrklyCS"
"CN" "Bay_CS"
"CO" "BrklyC2"
"CP" "Brew_CS"
"CQ" "Chath_1"
"CR" "E_BrwCS"
"CS" "Chath_2"
"CT" "Flom_CS"
"CU" "ContiCS"
"CV" "Magn_CS"
"CX" "Monr_CS"
"CY" "ContiCS"
"CZ" "N_Atm_C"
"D0" "FultRd2"
"D1" "S_AtmrC"
"D2" "Bay_DS"
"D3" "Brew_DS"
"D4" "Canoe"
"D5" "Castle"
"D6" "E_BrwDS"
"D7" "Flom_DS"
"D8" "Goodway"
"D9" "Huxford"
"DB" "Magn_DS"
"DC" "Dear_1"
"DD" "Monr_DS"
"DE" "Dear_1"
"DF" "N_Atm_D"
"DG" "VntyFar"
"DH" "N_Brewt"
"DI" "Flrda_2"
"DJ" "N_Flmtn"
"DK" "Flrda_2"
"DM" "PrduHil"
"DN" "Pollard"
"DO" "FultRd2"
"DP" "S_AtmrD"
"DQ" "Ga_Ave"
"DR" "S_Mnrvl"
"DS" "GrantSt"
"DT" "StFarm"
"DU" "HartAVE"
"DW" "Houston"
"DX" "Chick23"
"DY" "Kenneth"
"E2" "MobRvTm"
"E3" "OccChem"
"E4" "HintonB"
"E6" "EOTT_CU"
"E7" "AlStDks"
"E9" "Arm_Wor"
"EA" "Lipscmb"
"ED" "Ciba"
"EF" "USA_Spg"
"EH" "Mob_Inf"
"EJ" "USA_Med"
"EL" "MobCivC"
"EN" "Octogen"
"EO" "S_Jcksn"
"EQ" "Schlngr"
"ET" "SIRVNGT"
"EV" "GulfLmb"
"EW" "CytecCU"
"EX" "GeoPcCU"
"EZ" "MobRivr"
"F5" "Snow_Rd"
"FB" "Lyndl_1"
"FF" "RoyalSt"
"FI" "SageCS"
"FM" "S_MoblC"
"G1" "AU_DS"
"G3" "BgSandy"
"G5" "Caff_Jn"
"G7" "CstlHL"
"G9" "CdrCove"
"GB" "Colnial"
"GD" "CottnDL"
"GF" "CresRdg"
"GH" "E_15tCS"
"GN" "TusWWCS"
"GP" "EutawHY"
"GR" "FayHYDS"
"GS" "HollyGR"
"GU" "JasprCS"
"GV" "ForstCS"
"GW" "JasprDS"
"GX" "ForstCS"
"GY" "Jsp10CS"
"GZ" "14th_ST"
"H0" "Fox_CS"
"H1" "GraceST"
"H2" "Hargrov"
"H3" "HarisCS"
"H4" "Holt_CS"
"H5" "Kaul_DS"
"H6" "Kellrmn"
"H8" "Farmstd"
"H9" "MemPark"
"HA" "Jsp10CS"
"HC" "Nauvoo"
"HD" "N_Smnth"
"HE" "N_Cordv"
"HF" "NrthPrt"
"HH" "NthPtCS"
"HI" "OakmnDS"
"HJ" "PrkVwCS"
"HK" "PrkLand"
"HL" "Petersn"
"HM" "Parrish"
"HN" "RiceMin"
"HO" "Plstfld"
"HP" "Riversd"
"HR" "RosdlCS"
"HS" "RobinDS"
"HT" "Searls"
"HU" "SipsyDS"
"HV" "MillrCo"
"HW" "Sumiton"
"HX" "S_Holt"
"HY" "Walston"
"HZ" "S_Tusca"
"I0" "StokeDS"
"I1" "31st_DS"
"I2" "ThomsDS"
"I4" "TuscaCS"
"I5" "TuscaCS"
"I6" "AU_DS"
"I7" "WarIPCS"
"I8" "W_Smnth"
"I9" "AliceVL"
"IA" "W_Jeffr"
"IB" "ColStCS"
"IC" "Airport"
"ID" "AliceVL"
"IE" "WinonDS"
"IF" "DemopCS"
"IH" "CarolTN"
"II" "Cochran"
"IJ" "EthelVL"
"IK" "GrenbCS"
"IL" "GordoDS"
"IM" "LivngCS"
"IN" "Millprt"
"IO" "N_Gordo"
"IP" "RefrmDS"
"IQ" "N_Demop"
"IS" "N_Demop"
"IV" "S_Grenb"
"IX" "W_DmpCS"
"IZ" "BlctnCS"
"J1" "BlctnDS"
"J3" "S_Demop"
"J5" "NrthPrt"
"J7" "SixMile"
"J8" "HillCrk"
"JA" "AshrdDS"
"JC" "Bellamy"
"JE" "Brdseye"
"JG" "Boligee"
"JI" "Cuba_DS"
"JJ" "VanceDS"
"JM" "DemopDS"
"JP" "YachtDS"
"JS" "EmellDS"
"JU" "Epes_DS"
"JY" "FaunsDL"
"KB" "BearCrk"
"KD" "BvrtnDS"
"KF" "GeigrDS"
"KJ" "LindnDS"
"KL" "Delmar"
"KN" "GrenbDS"
"KP" "DblSprg"
"KR" "S_Lindn"
"KT" "N_York"
"KV" "W_DmpDS"
"KX" "W_Grnsb"
"L0" "MS_40-2"
"LB" "HlyVLCS"
"LD" "HamilDS"
"LE" "HodgeDS"
"LF" "Lynn_DS"
"LG" "N_Guin"
